strategy,universe,hit_ratio,risk_reward,avg_gain,avg_loss,max_gain,max_loss,buys,sells,trades,N,expectancy,profit_factor
tower,"""Micro1""",42.622915750039034,2.279989093658938,5960.225780433006,3633.4083774205965,10475.28,-6681.113424242425,11.66060606060606,0.0,11.124242424242425,330,353284.0074473264,721.0597414379391
trend_fol_3candle_ma,"""Micro1""",52.334362106098936,0.9110294959844456,2086.7858776630196,3302.475964191351,5509.389454545457,-7544.749212121212,12.06969696969697,14.081818181818182,25.46969696969697,330,390628.37734118366,687.5321948602784
three_candles,"""Micro1""",53.05784817786737,0.9886847960794548,1544.6837396642998,2045.4280641969483,5618.684545454548,-4775.402242424241,17.072727272727274,21.5,37.71212121212121,330,225299.92192951895,648.2361180536121
tower,"""Micro2""",37.9106550279683,1.6974927954696106,119599797.53205746,76923803.69425952,460676994.4341096,-368252794.4480649,12.270547945205479,0.0,11.631849315068493,584,8414090622.964106,640.1917936442909
trend_fol_3candle_ma,"""Micro2""",55.238824501389686,0.7935753627945781,43702034.18264071,77123961.6931354,311781000.57768846,-377056579.20366454,10.895547945205479,15.023972602739725,25.131849315068493,584,8782764903.410622,631.6254011489832
three_candles,"""Micro2""",53.188452824832254,1.005902381490345,40071973.21308437,49669426.15937541,310455262.07417804,-205762857.06320217,16.179794520547944,22.011986301369863,37.22945205479452,584,5567231213.222178,595.8028308641879
hammer,"""Micro2""",51.11066228362845,1.3437804909705824,58060061.51843559,37881403.15779308,100767949.83270545,-63831878.22273967,22.481164383561644,21.611301369863014,42.18150684931507,584,7026587934.715076,426.9385823614673
hammer,"""Micro1""",49.817841894020376,1.3670388697956384,363.75118080850734,1487.6486134949514,2282.7759393939386,-1941.6776969696964,27.62121212121212,27.354545454545455,52.845454545454544,330,28101.177102393616,412.530391147824
contrarian_piercing_stoch,"""Micro2""",49.30812093085295,2.250398312428236,78086279.1810312,1135434.3411384812,62310715.61089053,-3700240.342945206,4.436643835616438,3.9777397260273974,6.969178082191781,584,10406822.918041077,210.94800430771394
contrarian_piercing_stoch,"""Micro1""",50.18241054758239,4.755648167281642,3582.72055523077,2906.185155016418,6316.534636363638,-11445.025575757574,4.681818181818182,4.760606060606061,8.018181818181818,330,216186.91260023732,191.1568363630932
stick_sandwich,"""Micro2""",46.615107249564446,3.1675147798301055,42219272.513226345,63547660.75916483,90841738.13794518,-213124475.8866608,4.570205479452055,3.655821917808219,6.839041095890411,584,3059302864.0023427,174.50636362830545
contrarian_rsi_divergences,"""Micro2""",44.24297911156488,5.056268371126685,139526841.04659376,43699727.48921164,553988275.0372775,-265363629.51205465,2.9263698630136985,11.29109589041096,10.905821917808218,584,5697939134.520556,148.16863279232533
tweezers,"""Micro2""",49.27224374256146,1.1896697887426702,24.077106408049932,15.601060643442121,388.3722431506849,-194.35210616438357,81.48972602739725,74.82191780821918,152.28253424657535,584,1806.342657251014,131.0278758948815
stick_sandwich,"""Micro1""",46.62246519454813,3.075425050530211,1546.0764558191095,3178.9068512429994,6474.171090909091,-8681.12009090909,5.048484848484849,3.9424242424242424,7.542424242424242,330,97418.29527903663,127.28519047274636
tweezers,"""Micro1""",49.65112181847608,1.056588233555362,7.648232487907731,13.182179892917091,101.08303030303033,-299.0874545454545,91.2,84.81818181818181,171.63030303030303,330,878.6031066769486,122.02869703763984
contrarian_rsi_divergences,"""Micro1""",42.844480963956016,2.7925632867084755,4052.5728125266855,1757.0428491958412,12264.87263636364,-6744.333333333335,3.1515151515151514,12.803030303030303,12.566666666666666,330,218750.8554255925,103.02098746689823
quintuplets_2,"""Micro2""",47.144396214976254,8.17972448529448,7.366951600086888,2.808297053921091,28.51982876712329,-12.173287671232876,14.840753424657533,23.948630136986303,37.30821917808219,584,512.8831034251663,94.7311514055254
contrarian_engulfing_bbands,"""Micro2""",47.94492971294267,2.888137317591599,57061572.125546336,46498028.554185435,272612544.4279622,-303939133.4960104,7.910958904109589,8.936643835616438,15.60958904109589,584,5062377540.985857,87.80038936693116
pattern_hammer,"""Micro1""",49.62108959670352,1.7889021542836516,1005.8815732796268,614.0124046589107,7136.0964242424225,-6460.0706363636355,72.08181818181818,77.68787878787879,122.17272727272727,330,77040.5428479087,77.91544621205495
harami_strict,"""Micro2""",48.883132154221066,2.7090682458212036,9280286.064402651,66945028.637720495,30992525.944297954,-267594252.67119828,9.118150684931507,8.169520547945206,15.998287671232877,584,2474063529.2220488,76.73701809595798
harami_strict,"""Micro1""",49.22181982988575,2.1441881064254917,1232.2899603673998,1520.9826949947717,3624.2449696969666,-5019.746151515151,9.566666666666666,8.281818181818181,16.563636363636363,330,158872.70152840656,75.61294951703505
mirror,"""Micro2""",49.47420287867647,4.391122525781006,20393998.394667856,71454742.76739256,79318682.70393845,-192838425.1945891,16.416095890410958,15.976027397260275,30.50513698630137,584,5319809061.235197,72.65206596584052
quintuplets_10,"""Micro2""",46.99289926252182,5.427665182580618,12.725565205800317,5.174376458351228,54.977654109589054,-27.059246575342435,17.113013698630137,26.440068493150687,42.013698630136986,584,877.498337127281,72.48837849332172
blockade,"""Micro2""",53.24146528376721,3586.0765021551324,27549796.21388905,20676502.05699189,145261869.72030824,-94995699.63244857,4.001712328767123,18.22945205479452,20.94178082191781,584,2679766473.4967675,68.20972792554724
mirror,"""Micro1""",50.155453529190034,1.8114076070632383,1156.4421557119595,2606.4156310878607,6534.5168787878765,-10448.850757575752,18.6,18.669696969696968,35.406060606060606,330,186993.82359906018,66.14855511208862
pattern_hammer,"""Micro2""",49.87724083049632,5.6607783813341,13913935.885949686,7052781.935123501,156913045.6932191,-76532077.68960617,72.14897260273973,79.11986301369863,121.0068493150685,584,1231641407.5444448,65.33381952430946
contrarian_countdown_extremes,"""Micro2""",39.47458287115972,1.9828313070498889,80225037.06387934,16540851.745527228,265033568.65666074,-95411087.93265417,14.143835616438356,7.8561643835616435,20.618150684931507,584,3905615903.757433,64.69054448131743
quintuplets_50,"""Micro2""",46.54558147649919,35.24187628284483,39.854930543068825,15.672809699723986,172.74967465753423,-67.27813356164391,18.001712328767123,27.366438356164384,43.79965753424658,584,3101.5208213891774,62.57927960446753
tasuki,"""Micro2""",49.750871756119246,1.9434068483414582,26045264.787156332,42497387.787701555,130427089.124555,-312379943.6975852,13.032534246575343,12.351027397260275,24.106164383561644,584,2187468361.670412,61.15775812743953
quintuplets_2,"""Micro1""",45.36846824829357,5.566065897375362,8.650157338043487,3.064930553870651,29.418515151515166,-14.345969696969703,18.124242424242425,29.12121212121212,45.63939393939394,330,584.3693311282071,61.04759748887681
trend_fol_h_trend_intensity,"""Micro2""",56.71484733536559,26.16799231634305,35873863.63601785,65847453.148127764,196765281.387945,-238166412.21508574,15.748287671232877,19.113013698630137,33.532534246575345,584,6410551885.85293,60.51899386900242
contrarian_engulfing_bbands,"""Micro1""",46.874474599271,1.5424687236841388,2188.375574641168,2372.2887166324363,8863.236969696969,-10944.08715151515,8.748484848484848,10.248484848484848,17.663636363636364,330,239417.10370825217,53.110665084080416
adx_indicator,"""Micro1""",48.439714584075595,3.853469927915453,3338.177904721519,1971.767022776565,8957.875060606062,-10506.022666666662,9.772727272727273,7.166666666666667,15.27878787878788,330,191380.9973647706,52.89595733937682
trend_fol_h_trend_intensity,"""Micro1""",55.36546210941565,1.1405930247900404,1371.601092123375,1679.2067764010235,9933.709303030299,-8045.927242424242,18.772727272727273,20.80909090909091,38.2060606060606,330,189233.64431683073,47.342269429801554
contrarian_countdown_extremes,"""Micro1""",41.17812883659217,1.8503883022006753,1657.9006605159948,1204.925974306577,6148.611424242422,-13046.749090909094,15.196969696969697,9.157575757575758,23.042424242424243,330,89625.76247489231,46.81858985010521
adx_indicator,"""Micro2""",49.64164568306563,1.7723815086363894,40819816.93532074,64501570.26970527,143019224.18703774,-329301311.04871583,9.933219178082192,7.217465753424658,15.51541095890411,584,4856144277.394892,46.58329898118101
blockade,"""Micro1""",51.927965242900704,2.435306481629834,1727.5681746146297,1879.6397582087684,9374.740727272721,-11581.608515151518,4.281818181818182,19.193939393939395,22.187878787878788,330,240382.21870609227,46.48651804221345
pattern_three_line_strike,"""Micro2""",45.367989593420134,1.2040461326457037,50525922.670717746,38754345.85596436,514916323.05236304,-450586901.00991476,34.73458904109589,0.0,33.39383561643836,584,3686464254.661032,45.79874365306047
tasuki,"""Micro1""",50.47074524244691,1.251617902612915,314.60072148954185,815.9387303509351,2243.9318484848486,-7990.806090909089,14.05151515151515,13.387878787878789,26.151515151515152,330,52093.261971578584,43.9177380099936
quintuplets_10,"""Micro1""",43.81558468442065,3.529981520317101,9.972789139684336,5.1137519820810535,50.90009090909093,-25.96045454545453,20.693939393939395,31.94242424242424,51.0030303030303,330,731.228799231583,42.405759025436105
pattern_engulfing,"""Micro2""",44.826606219504086,0.9393860288238282,26535669.732202053,24198078.119752754,97746326.75898974,-189574527.22614726,30.017123287671232,0.0,28.756849315068493,584,2267919391.801993,41.86564617994683
harami_flexible,"""Micro2""",50.36274672062902,1.3781063692345614,8560907.756833136,33466116.78024224,114644087.66458903,-167348283.53553098,20.796232876712327,17.811643835616437,37.29965753424658,584,1661838806.4729543,40.840344924734715
h,"""Micro1""",51.958248522075465,1.1273629624714196,1003.9023473524163,1164.6923977839867,10147.923242424242,-7158.9125151515145,35.336363636363636,40.32727272727273,74.0878787878788,330,117228.87490824026,40.63073664339569
pattern_engulfing,"""Micro1""",47.33961979938922,0.9872747094731521,640.1531411725492,752.3264624144044,3159.7662121212115,-7025.851424242426,33.04545454545455,0.0,31.818181818181817,330,32459.007041977056,40.30941343707692
pattern_three_line_strike,"""Micro1""",48.113498691009625,0.925631350152695,1804.8648127608274,1134.1478703797377,11364.378151515155,-8612.312303030305,38.11515151515152,0.0,36.763636363636365,330,101579.74019759615,40.2365066282535
quintuplets_50,"""Micro1""",43.55044121898908,3.60127243849087,15.095997791378133,7.488281020987204,90.02606060606058,-44.53418181818181,21.615151515151513,32.875757575757575,52.845454545454544,330,1145.3127678539536,39.72314540269131
donchian_indicator,"""Micro1""",85.92390869789445,4.466242606946095,446.00580362861336,465.14426419186753,10203.068212121207,-6892.428363636363,46.906060606060606,46.487878787878785,87.53939393939395,330,74808.62020875853,38.88644458536624
heikin_ashi_tasuki,"""Micro2""",50.764915613257386,884.286341597394,28065988.32161655,14386682.117715294,412353754.0171405,-134803098.33465767,34.42123287671233,36.92123287671233,69.70719178082192,584,2116284149.7091644,38.84579726534724
candlestick_tasuki,"""Micro2""",50.764915613257386,884.286341597394,28065988.32161655,14386682.117715294,412353754.0171405,-134803098.33465767,34.42123287671233,36.92123287671233,69.70719178082192,584,2116284149.7091644,38.84579726534724
engulfing,"""Micro2""",48.388707211869004,1.2091565107210793,20739564.389746584,14280138.405939862,274189519.07030845,-147587300.74106142,41.48287671232877,42.30650684931507,81.94006849315069,584,1777043090.4470108,38.788899605342365
euphoria,"""Micro2""",43.631592371762196,1.4500461133277567,34058762.073508725,16342580.318517037,475203996.187175,-296933051.98659253,46.77568493150685,21.481164383561644,66.63527397260275,584,1744570648.4552405,38.76594058522827
heikin_ashi_euphoria,"""Micro2""",43.631592371762196,1.4500461133277567,34058762.073508725,16342580.318517037,475203996.187175,-296933051.98659253,46.77568493150685,21.481164383561644,66.63527397260275,584,1744570648.4552405,38.76594058522827
candlestick_euphoria,"""Micro2""",43.631592371762196,1.4500461133277567,34058762.073508725,16342580.318517037,475203996.187175,-296933051.98659253,46.77568493150685,21.481164383561644,66.63527397260275,584,1744570648.4552405,38.76594058522827
barrier,"""Micro1""",49.798432549346124,1.6540178422996328,1336.497193864233,922.1742935750241,6556.66224242424,-6165.93712121212,29.01212121212121,25.46969696969697,52.36666666666667,330,101380.78286652062,38.36854485363097
star,"""Micro2""",49.20801498084226,1.9040478175562954,35643087.20475893,23393780.846159022,461751383.41544485,-126610771.75046234,29.30308219178082,28.40582191780822,56.23287671232877,584,3082084778.3217015,37.82905965488926
harami_flexible,"""Micro1""",50.04036271266809,1.149522529932675,1435.2898807373087,950.5241075807832,10372.636757575752,-7327.527212121212,22.893939393939394,18.927272727272726,40.554545454545455,330,121904.47914321869,37.53332597376363
engulfing,"""Micro1""",48.50405090394129,1.1177461342990425,625.274975737921,549.4478986014406,7390.364303030299,-7425.073787878789,45.27272727272727,46.693939393939395,90.13636363636364,330,56460.35377287551,37.36490184226901
h,"""Micro2""",52.91741227028063,1.2593527824895454,34453077.09340486,27649065.64963946,297284909.81761956,-139734662.21571922,30.47945205479452,35.907534246575345,64.81164383561644,584,3336315748.956844,35.914597872031415
heikin_ashi_tasuki,"""Micro1""",50.76211087824409,1.0750623172560128,566.9506341128916,710.4645633775369,7052.11496969697,-5678.293666666667,38.74242424242424,39.85757575757576,76.93333333333334,330,67009.48242314531,34.42225880676266
candlestick_tasuki,"""Micro1""",50.76211087824409,1.0750623172560128,566.9506341128916,710.4645633775369,7052.11496969697,-5678.293666666667,38.74242424242424,39.85757575757576,76.93333333333334,330,67009.48242314531,34.42225880676266
star,"""Micro1""",49.48128167137742,1.1394616946363187,548.9037852949039,893.9613370572534,6005.936787878788,-8082.242060606059,31.157575757575756,30.09090909090909,59.66969696969697,330,64105.339395084855,34.415198028460544
piercing,"""Micro1""",51.227397129884814,1.0388701187449947,501.24525842188876,677.1473359500093,5234.429484848482,-7708.449303030305,55.67575757575757,59.07575757575758,112.7060606060606,330,60857.034838702835,34.39885380554017
k_extreme_duration,"""Micro1""",43.80802659498451,1.3131003108406174,1206.1616306802023,870.7070236347565,9882.025212121212,-11431.634818181814,21.6,17.13030303030303,37.584848484848486,330,86731.6461628409,34.397734375438766
euphoria,"""Micro1""",45.27455849077263,1.2821309912799443,902.1865112934566,812.6511843890885,5494.068393939394,-12359.058121212125,49.04848484848485,25.236363636363638,72.73939393939393,330,62707.82823127818,34.37131289291037
heikin_ashi_euphoria,"""Micro1""",45.27455849077263,1.2821309912799443,902.1865112934566,812.6511843890885,5494.068393939394,-12359.058121212125,49.04848484848485,25.236363636363638,72.73939393939393,330,62707.82823127818,34.37131289291037
candlestick_euphoria,"""Micro1""",45.27455849077263,1.2821309912799443,902.1865112934566,812.6511843890885,5494.068393939394,-12359.058121212125,49.04848484848485,25.236363636363638,72.73939393939393,330,62707.82823127818,34.37131289291037
